00264d19,"fmvplayer.cpp"
00264d27,"_ZN3fmv10     PlayerInit                  EPNS_12PlayerParamsE"
00264d4f,"_ZN3fmv11     PlayerStart                 Ejj"
00264d67,"_ZN3fmv10     PlayerStop                  Ej"
00264d7d,"_ZN3fmv14     PlayerSetPause              Ej"
00264d97,"_ZN3fmv10     PlayerWork                  Ev"
00264dad,"_ZN3fmv10     PlayerIdle                  Ev"
00264dc3,"_ZN3fmv16     PlayerSetCaption            EPo"
00264de0,"_ZN3fmv16     PlayerGetCaption            Ev"
00264dfc,"_ZN3fmv16     PlayerGetTexture            Ev"
00264e18,"_ZN3fmv12     PlayerRewind                Ev"
00264e30,"_ZN3fmv16     PlayerWorkVblank            Ev"
00264e4c,"_ZN3fmv15     PlayerTerminate             Ev"
00264e67,"_ZN3fmv20     s_bPlayerInitialized        E"
00264e86,"_ZN3fmv16     s_bPlayerStarted            E"
00264ea1,"_ZN3fmv17     s_bPlayerStopping           E"
00264ebd,"_ZN3fmv15     s_bPlayerPaused             E"
00264ed7,"_ZN3fmv17     s_bDisplayStarted           E"
00264ef3,"_ZN3fmv13     s_bTagWaiting               E"
00264f0b,"_ZN3fmv9      s_pDmaTag                   E"
00264f1e,"_ZN3fmv8      s_Params                    E"
00264f30,"_ZN3fmv5      s_Fmv                       E"
00264f40,"_ZN3fmv20     s_bPlayerInitialized        E"
00264f5f,"_ZN3fmv16     s_bPlayerStarted            E"
00264f7a,"_ZN3fmv17     s_bPlayerStopping           E"
00264f96,"_ZN3fmv15     s_bPlayerPaused             E"
00264fb0,"_ZN3fmv17     s_bDisplayStarted           E"
00264fcc,"_ZN3fmv13     s_bTagWaiting               E"
00264fe4,"_ZN3fmv9      s_pDmaTag                   E"
00264ff7,"_ZN3fmv8      s_Params                    E"
00265009,"_ZN3fmv5      s_Fmv                       E"
00265018,"_ZN3fmv10     PlayerInit          EPNS_12PlayerParamsE"
00265040,"_ZN3fmv8      MpegInit            Ev"
00265053,"_ZN3fmv7      MemInit             EPvj"
00265067,"_ZN3fmv11     DisplayInit         ERNS_13DisplayParamsE"
00265091,"_ZN3fmv11     PlayerStart         Ejj"
002650a9,"_ZN3fmv10     MpegCreate          EPNS_10MpegStreamENS_14EMpegVideoTypeEPFvjEPFiPhijEjij"
002650f3,"_ZN3fmv13     DisplayCreate       EjjNS_9EZoomModeEb"
0026511c,"_ZN3fmv14     PlayerSetPause      Ej"
00265136,"_ZN3fmv10     PlayerStop              Ej"
0026514c,"_ZN3fmv11     DisplayStopEv"
00265163,"_ZN3fmv10     MpegDeleteEv"
00265179,"_ZN3fmv8      MemResetEv"
0026518c,"DelayThread"
00265198,"_ZN3fmv16     DisplayIsFlushedEv"
002651b4,"_ZN3fmv15     DisplaySetPauseEb"
002651cf,"_ZN3fmv10     PlayerWorkEv"
002651e5,"_ZN3fmv15     DisplayAddFrameEPNS_6DmaTagEb"
0026520c,"_ZN3fmv12     DisplayStartEv"
00265224,"_ZN3fmv8      MpegIdleEv"
00265237,"_ZN3fmv9      MpegIsEndEv"
0026524b,"_ZN3fmv26     DisplayGetQueuedFrameCountEv"
00265271,"_ZN3fmv28     DisplayGetUploadedFrameCountEv"
00265299,"_ZN3fmv12     MpegGetVideoEPPNS_6DmaTag               Ej"
002652be,"_ZN3fmv10     PlayerIdleEv"
002652d4,"_ZN3fmv16     PlayerSetCaptionEPo"
002652f1,"_ZN3fmv17     DisplaySetCaptionEPKNS_6DmaTagE"
0026531a,"_ZN3fmv16     PlayerGetCaptionEv"
00265336,"_ZN3fmv17     DisplayGetCaptionEv"
00265353,"_ZN3fmv16     PlayerGetTextureEv"
0026536f,"_ZN3fmv12     PlayerRewindEv"
00265387,"_ZN3fmv10     MpegRewindEv"
0026539d,"_ZN3fmv16     PlayerWorkVblankEv"
002653b9,"_ZN3fmv17     DisplayWorkVblank               Ej"
002653d6,"_ZN3fmv15     PlayerTerminateEv"
002653f1,"_ZN3fmv14     DisplayDestroyEv"
0026540b,"_ZN3fmv12     MemTerminateEv"
